artist         num_plays
Cliff Edwards          3
Jaymes Young          3
Bebe Rexha          3
Walter Catlett          3
SHAED          3
Louis Prima          3
David Ogden Stiers          3
Louis The Child          3
The Muppets          3
Jeremy Zucker          3
Alan Walker          3
CLASS:y          3
Kiiara          3
Rene Auberjonois          3
Billy Crystal          3
Gym Class Heroes          3
Richard White          3
Jun Hyo Seong          3
Darlene Love          3
Franz Liszt          3
Maisie Peters          3
B1A4          3
Klaus Badelt          3
Ewan McGregor          3
Foster The People          3
Joseph Williams          3
SZA          3
Keith David          3
The Mouseketeers          3
Orianthi          3
Daniel Caesar          3
ayaka          3
Primary          3
Vince Guaraldi Trio          3
Gentle Bones          3
Ludovico Einaudi          2
Ned Washington          2
Gunna          2
Daddy Yankee          2
Thurl Ravenscroft          2
Gypsy Jazz Caravan          2
LADIES' CODE          2
GSoul          2
Gnarls Barkley          2
Hans Zimmer          2
Astrid S          2
Natasha Bedingfield          2
Queen + The Muppets          2
Burl Ives          2
Austin Mahone          2
Deorro          2
Bahari          2
Craig Copeland          2
Paul Simpson          2
Hitomi Tohyama          2
Sik-K          2
Mitchel Musso          2
Michael Bublé          2
Felix Mendelssohn          2
George Frideric Handel          2
YUNGBLUD          2
Kalin and Myles          2
I.B.I          2
Eyedi          2
Snoop Dogg          2
Hoodie Allen          2
FINNEAS          2
THE ANXIETY          2
Pete Renoudet          2
Corinne Bailey Rae          2
Lukas Graham          2
Chad Stuart          2
Oliver Tree          2
Tove Lo          2
Billy Taylor          2
Kacey Musgraves          2
Carpenters          2
Meaghan Martin          2
Antonín Dvořák          2
LambC          2
Bazzi          2
Kings of Leon          2
Bug Chorus          2
Hoody          2
ILLENIUM          2
Hozier          2
Vice          2
Pete Seeger          2
T.I.          2
Louis Armstrong          2
Phil Harris          2
Glynis Johns          2
Mondo Grosso          2
Jonathan Sacks          2
Bill Cantos          2
Jason Mraz          2
Kim Na Young          2
Hamzaa          2
Tyga          2
Forest Blakk          2
Kodak Black          2
Chance the Rapper          2
Martin Solveig          2
Porter Robinson          2
Snakehips          2
Chromeo          2
Dennis Lloyd          2
Anne-Marie          2
Megan Thee Stallion          2
Jukjae          2
ACRAZE          2
Yu Seung Woo          2
Solji          2
Mabel          2
Betty Taylor          2
Water Sound Natural White Noise          2
Jaden          2
Mike Perry          2
Lewis Bertram          2
Scatman Crothers          2
Dan Foliart          2
Gemma Casimaty          2
Latto          2
10시 45분          2
Farruko          2
Dean Martin          2
ATEEZ          2
Amaarae          2
Thomas Newman          2
Igor Stravinsky          2
Daya          2
CKay          2
Fireboy DML          2
Lil Mosey          2
Luna Meguise          2
Chelsea Cutler          2
Block B          2
HYUKOH          2
Jack Harlow          2
Juice WRLD          2
Luigi Boccherini          2
Mike Posner          2
Yeopso          2
Redheat          2
Emmy Meli          2
AJ Rafael          2
The Walters          2
Laufey          2
Matterhorn Yodelers          2
Otto A. Totland          2
Eagles          2
Christoph Willibald Gluck          2
SuperM          2
ASTRO          2
Johnny Balik          2
Elvis Presley          2
MIXNINE          2
Brown Eyed Girls          2
All-4-One          2
Dick Dale          2
Culture Code          2
Måneskin          2
AILEE          2
Tomoko Aran          2
Rex Allen          2
Nina Simone          2
Sara Bareilles          2
Trey Songz          2
Anna Nalick          2
MINZY          2
Boys Republic          2
JAY-Z          2
Florence + The Machine          2
Passion Pit          2
Bonnie McKee          2
Verna Felton          2
Chimmi          2
No Doubt          2
John Legend          2
Ludwig van Beethoven          2
Xavier Atencio          2
Mark Ronson          2
AB6IX          2
Lauren Spencer Smith          2
Grissini Project          2
Birdy          2
AUDREY NUNA          2
Dr. John          2
zzoilo          2
J. Cole          2
Chris Stapleton          2
Jon Bellion          2
Plain White T's          2
Sheryl Crow          2
OKDAL          2
Elley Duhé          2
Dermot Kennedy          2
The Rose          2
Tony Bennett          2
Bessie Smith          2
Gary Hoey          2
Judy Garland          1
Kyle Landry          1
TRANG          1
Aretha Franklin          1
Alesso          1
YEZI          1
Lead Belly          1
Benette          1
Faber Drive          1
Naoko Gushima          1
Shannon          1
PSY          1
Eartha Kitt          1
Wildberry          1
KIM JAE HWAN          1
Grace VanderWaal          1
Smash Mouth          1
JAWNY          1
Yurie Kokubu          1
Jordan Fisher          1
Jessi          1
Alok          1
Kevin Hart          1
Taeko Onuki          1
North Naim          1
RuPaul          1
Gretchen Wilson          1
Brenda Lee          1
KREAM          1
The Calling          1
Gain          1
MØ          1
indigo la End          1
The Fantasyland Band Organ          1
José Feliciano          1
Kay Starr          1
Rosa Løvstrøm          1
Echo River          1
Chevy          1
Yoon Mirae          1
Yue Yan Jen          1
Kim Yuna          1
Domenico Scarlatti          1
Seotaiji          1
Pretty Ricky          1
Three Days Grace          1
Masala Roo          1
2PM          1
Lennon Stella          1
Yoga          1
Akina Nakamori          1
Naomi Akimoto          1
SNUPER          1
George Wilkins          1
Cyclops          1
benny blanco          1
SOHLHEE          1
Miguel          1
Conor Matthews          1
Pharrell Williams          1
SE SO NEON          1
A.C.E          1
Dominic Fike          1
Foz Tee          1
Whitney Houston          1
Kris Allen          1
LMFAO          1
Lil Baby          1
MIGYO          1
Brandy          1
Bruce Springsteen          1
Gesaffelstein          1
CARLA          1
Richard Bellis          1
Houston          1
Bella Poarch          1
Manuel de Falla Matheu          1
Traditional          1
Allstar Weekend          1
Macklemore & Ryan Lewis          1
Carmen Twillie          1
Jack & Jack          1
Donnie Trumpet & The Social Experiment          1
Lil Wayne          1
Mariya Takeuchi          1
Aaron Lansing          1
Cast Of Camp Rock          1
Charmaine D'Avis          1
Merle Haggard          1
Marlene          1
L8LOOMER          1
Genevieve Stokes          1
Yonder Dale          1
Oliver Évilo          1
Deep Inside          1
Los Tigres Del Norte          1
Matt Terry          1
Hualyeogangsan          1
MAZ.B          1
Disclosure          1
Joji          1
YOASOBI          1
Jaejoo Boys          1
Krissy          1
Francesca Caroléo          1
Vincent          1
Die Antwoord          1
Ager          1
The Tides          1
Luis Fonsi          1
LEE MINHYUK (HUTA)          1
Kenny Loggins          1
Taste of love          1
Jean Sibelius          1
ZZ Ward          1
Michael Bruner          1
Callisto Mazzi          1
Hayden James          1
Dayglow          1
Banx & Ranx          1
Grouplove          1
Vengaboys          1
Joseph McGrahl          1
Dove Cameron          1
Chris Lake          1
Marshmello          1
Cher          1
NN-Art          1
Claes Nilsson          1
Joel Corry          1
Ólafur Arnalds          1
Tony Igy          1
Degravitated          1
Mark Mancina          1
Troy          1
WayV          1
SUHO          1
Summer Walker          1
fun.          1
Mill Nashy          1
Goldmund          1
The Sugarhill Gang          1
Nada Surf          1
Terror Squad          1
Donny Hathaway          1
Benjamin Gustafsson          1
Réka Ioescu          1
Lewis Capaldi          1
Kreayshawn          1
Billie Holiday          1
Little Big Town          1
Andrew Rannells          1
Cosmo's Midnight          1
The Strokes          1
DALsooobin          1
IGRAINE          1
Excision          1
Matter and Energy          1
Pyotr Ilyich Tchaikovsky          1
Charlotte Lawrence          1
Green Day          1
ATLiens          1
ARTY          1
DPR LIVE          1
R3HAB          1
Peggy Lee          1
Sunny Girls          1
Jung Jin Woo          1
Lawrence          1
Snow Patrol          1
The Ting Tings          1
Shawn Wasabi          1
ROSALÍA          1
Frank Pole          1
RM          1
Koby Laver          1
Offset          1
Henri Dutilleux          1
chloe moriondo          1
Nat King Cole Trio          1
Kansas          1
Gene Autry          1
Boys Like Girls          1
Magma Kum          1
MVS          1
Becky G          1
Christopher Jackson          1
Tayler Buono          1
葛瑞蓋斯          1
Cap Kendricks          1
Niccolò Pagliani          1
Bleachers          1
Dream Street          1
TOKiMONSTA          1
V.Raeter          1
BUMKEY          1
SBGB          1
Erykah Badu          1
NU'EST          1
Connie Constance          1
Modest Mouse          1
U-KISS          1
BerryGood          1
Peter Breiner          1
Chelsea Grin          1
Loote          1
Keys N Krates          1
Angel Haze          1
Nevada          1
Rand Aldo          1
Girls Next Door          1
Justice          1
Anuel AA          1
Miki Matsubara          1
NU'EST W          1
Pink Slip          1
H.U.B          1
Krzysztof Penderecki          1
Moise          1
Sam Cooke          1
NOIR          1
Naughty Boy          1
Ralph Vaughan Williams          1
강수지          1
A Great Big World          1
ONE          1
Johann Eder          1
Pavi With Tropicalia          1
Jenevieve          1
Kasper Schill          1
Noah Cyrus          1
Gabriela Montero          1
Frédéric Chopin          1
TEEN TOP          1
Aru Takamura          1
Tate McRae          1
Calum Scott          1
KNK          1
Catching Flies          1
Lucas Grabeel          1
